"neid_prefix","neid_mid","FRN_NameAsPublished","FRN_Date"
TRBF,SNJUAN,"San Juan Southern Paiute Tribe of Arizona",12/11/2024
TRBF,SNOQLM,"Snoqualmie Indian Tribe",12/11/2024
TRBF,SNPSQL,"San Pasqual Band of Diegueno Mission Indians of California",12/11/2024
TRBF,SOBOBA,"Soboba Band of Luiseno Indians, California",12/11/2024
TRBF,SOKGON,"Sokaogon Chippewa Community, Wisconsin",12/11/2024
TRBF,SPKANE,"Spokane Tribe of the Spokane Reservation",12/11/2024
TRBF,SPMWKN,"Shakopee Mdewakanton Sioux Community of Minnesota",12/11/2024
TRBF,SPRTLK,"Spirit Lake Tribe, North Dakota",12/11/2024
TRBF,SQUXIN,"Squaxin Island Tribe of the Squaxin Island Reservation",12/11/2024
TRBF,SRMHWK,"Saint Regis Mohawk Tribe",12/11/2024
TRBF,SROSAB,"Santa Rosa Band of Cahuilla Indians, California",12/11/2024
TRBF,SROSAR,"Santa Rosa Indian Community of the Santa Rosa Rancheria, California",12/11/2024
TRBF,SRPMCP,"Salt River Pima-Maricopa Indian Community of the Salt River Reservation, Arizona",12/11/2024
TRBF,STAANA,"Pueblo of Santa Ana, New Mexico",12/11/2024
TRBF,STAYNZ,"Santa Ynez Band of Chumash Mission Indians of the Santa Ynez Reservation, California",12/11/2024
TRBF,STHUTE,"Southern Ute Indian Tribe of the Southern Ute Reservation, Colorado",12/11/2024
TRBF,STLMSH,"Stillaguamish Tribe of Indians of Washington",12/11/2024
TRBF,STNDRK,"Standing Rock Sioux Tribe of North & South Dakota",12/11/2024
TRBF,SUQUAM,"Suquamish Indian Tribe of the Port Madison Reservation",12/11/2024
TRBF,SUSANV,"Susanville Indian Rancheria, California",12/11/2024
TRBF,SWINOM,"Swinomish Indian Tribal Community",12/11/2024
TRBF,SWOYTE,"Sisseton-Wahpeton Oyate of the Lake Traverse Reservation, South Dakota",12/11/2024
TRBF,SYCUAN,"Sycuan Band of the Kumeyaay Nation",12/11/2024
TRBF,TABLEM,"Table Mountain Rancheria",12/11/2024
TRBF,TAOSPB,"Pueblo of Taos, New Mexico",12/11/2024
TRBF,TEJONT,"Tejon Indian Tribe",12/11/2024
TRBF,TEMOAK,"Te-Moak Tribe of Western Shoshone Indians of Nevada (Four constituent bands: Battle Mountain Band; Elko Band; South Fork Band; and Wells Band)",12/11/2024
TRBF,THNODM,"Tohono O'odham Nation of Arizona",12/11/2024
TRBF,TIMBSH,"Timbisha Shoshone Tribe",12/11/2024
TRBF,TLPLCO,"Thlopthlocco Tribal Town",12/11/2024
TRBF,TLWDNI,"Tolowa Dee-ni' Nation",12/11/2024
TRBF,TNKAWA,"Tonkawa Tribe of Indians of Oklahoma",12/11/2024
TRBF,TNWNDA,"Tonawanda Band of Seneca",12/11/2024
TRBF,TONTOA,"Tonto Apache Tribe of Arizona",12/11/2024
TRBF,TRSMTZ,"Torres Martinez Desert Cahuilla Indians, California",12/11/2024
TRBF,TSCARA,"Tuscarora Nation",12/11/2024
TRBF,TSUQUE,"Pueblo of Tesuque, New Mexico",12/11/2024
TRBF,TULALP,"Tulalip Tribes of Washington",12/11/2024
TRBF,TULERV,"Tule River Indian Tribe of the Tule River Reservation, California",12/11/2024
TRBF,TUNBIL,"Tunica-Biloxi Indian Tribe",12/11/2024
TRBF,TUOLMN,"Tuolumne Band of Me-Wuk Indians of the Tuolumne Rancheria of California",12/11/2024
TRBF,TURTLM,"Turtle Mountain Band of Chippewa Indians of North Dakota",12/11/2024
TRBF,TWNPLM,"Twenty-Nine Palms Band of Mission Indians of California",12/11/2024
