"neid_prefix","neid_mid","match","AIANNH_geoname_full","STATES","AIANNHCE","AIANNHNS"
TRBF,SFLIPE,n,"San Felipe Pueblo/Santa Ana Pueblo joint-use area",NM,4930,02419124
TRBF,SFLIPE,n,"San Felipe Pueblo/Santo Domingo Pueblo joint-use area",NM,4940,02419125
TRBF,SGINAW,d,"Isabella Reservation",MI,1610,01616981
TRBF,SHAWNT,d,"Ottawa OTSA",OK,5770,02419159
TRBF,SHLWBY,n,"Shoalwater Bay Indian Reservation",WA,3780,01508317
TRBF,SHNNCK,nd,"Shinnecock (State) Reservation",NY,9370,00979494
TRBF,SHRWDV,nd,"Sherwood Valley Rancheria",CA,3735,00232986
TRBF,SHSMWK,nd,"Shingle Springs Rancheria",CA,3750,00233021
TRBF,SILDFN,nd,"San Ildefonso Pueblo",NM,3415,00918342
TRBF,SILETZ,nd,"Siletz Reservation",OR,3795,01155124
TRBF,SKLLVY,n,"Skull Valley Reservation",UT,3840,01445643
TRBF,SKOKOM,nd,"Skokomish Reservation",WA,3825,01525866
TRBF,SKSTTL,nd,"Sauk-Suiattle Reservation",WA,3625,02419131
TRBF,SMARIE,n,"Sault Ste. Marie Reservation",MI,3635,02419132
TRBF,SMMTLK,n,"Summit Lake Reservation",NV,4045,00858261
TRBF,SMNLFL,r,"Big Cypress Reservation",FL,0225,01934321
TRBF,SMNLFL,r,"Brighton Reservation",FL,0360,00300151
TRBF,SMNLFL,r,"Fort Pierce Reservation",FL,1260,02418940
TRBF,SMNLFL,d,"Hollywood Reservation",FL,1475,00284183
TRBF,SMNLFL,r,"Immokalee Reservation",FL,1555,02418972
TRBF,SMNLFL,r,"Tampa Reservation",FL,4130,02419488
TRBF,SMNLFL,r,"Seminole (FL) Trust Land",FL,3665,02419138
TRBF,SMNLFL,r,"Coconut Creek Trust Land",FL,0690,02418876
TRBF,SMNLOK,n,"Seminole OTSA",OK,5830,01925073
TRBF,SMNLOK,nd,"Creek/Seminole joint-use OTSA",OK,5915,01925072
TRBF,SNCCYG,nd,"Seneca-Cayuga OTSA",OK,5835,02419214
TRBF,SNCNAT,d,"Allegany Reservation",NY,0080,00978667
TRBF,SNCNAT,r,"Cattaraugus Reservation",NY,0540,00978804
TRBF,SNCNAT,r,"Oil Springs Reservation",NY,2535,00959239
TRBF,SNCRLS,nd,"San Carlos Reservation",AZ,3355,00024000
TRBF,SNJUAN,d,"Navajo Nation Reservation",AZ~NM~UT,2430,00041148
TRBF,SNOQLM,n,"Snoqualmie Reservation",WA,3860,02419473
