"Census_RaceEthCode","Census_Description"
5465,"TRADITIONAL VILLAGE OF TOGIAK"
5465,"TOGIAK"
5465,"TOGIAK NATIVES LTD."
5466,"TULUKSAK NATIVE COMMUNITY"
5466,"TULKISARMUTE INC."
5466,"TULUKSAK"
5467,"TWIN HILLS VILLAGE"
5467,"TWIN HILLS"
5467,"TWIN HILLS NATIVE CORP."
5468,"UMKUMIUT NATIVE VILLAGE"
5468,"UMKUMIUT"
5468,"UMKUMIUTE NATIVE VILLAGE"
5469,"VILLAGE OF ALAKANUK"
5469,"ALAKANUK"
5469,"ALAKANUK NATIVE CORP."
5469,"ALAKANUK TRADITIONAL COUNCIL"
5470,"VILLAGE OF ANIAK"
5470,"ANIAK"
5470,"ANIAK TRADITIONAL COUNCIL"
5471,"VILLAGE OF ATMAUTLUAK"
5471,"ATMAUTLUAK"
5471,"ATMAUTLUAK LIMITED"
5472,"VILLAGE OF BILL MOORE’S SLOUGH"
5472,"BILL MOORE’S SLOUGH"
5473,"VILLAGE OF CHEFORNAK"
5473,"CHEFARNRMUTE INC."
